shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,pour_elev,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out
1,2529,FALSE,1,2.439999999999827,672.899,13018,87,118,0,0.9648082245946331,13767,92,117,673.072,13917,93,117,673.066,17,673.072,FALSE,671.127,17061,671.287
2,630,FALSE,1,86.80899999999735,673.591,8713,59,13,0,137.7920634920593,9604,65,4,674.508,9753,66,3,674.515,20,674.515,TRUE,674.432,10051,674.473
3,1,TRUE,1,0.7009999999995671,679.044,59,1,59,0,700.9999999995671,50,1,50,679.143,49,1,49,679.146,4,679.146,TRUE,673.792,3901,674.805
4,495,TRUE,1,173.73099999998396,673.792,3901,27,1,0,350.9717171716848,7059,48,9,674.805,7210,49,10,674.766,2,674.805,FALSE,673.591,8713,674.515
5,41,TRUE,1,36.59900000000084,675.499,126,1,126,0,892.6585365853864,2672,18,122,676.197,2821,19,121,676.189,14,676.197,FALSE,676.129,3119,676.197
6,701,TRUE,1,95.56299999998919,668.858,22201,149,1,0,136.32382310982766,20561,138,11,670.125,20412,137,12,670.132,9,670.132,FALSE,669.936,19514,670.132
7,259,FALSE,1,0.23400000000037835,677.349,4899,33,99,0,0.9034749034763643,4601,31,101,677.388,4452,30,102,677.388,13,677.388,FALSE,677.349,4004,677.388
8,2949,FALSE,1,14.359000000001856,670.292,19539,131,39,0,4.869108172262413,19232,129,32,670.512,19381,130,31,670.514,9,670.514,FALSE,669.936,19514,670.132
9,1271,FALSE,1,9.084999999994238,669.936,19514,131,14,0,7.147915027532839,20412,137,12,670.132,20561,138,11,670.125,6,670.132,TRUE,668.858,22201,670.132
10,559,FALSE,1,39.944999999998345,672.747,13336,89,136,0,71.4579606440042,12577,84,127,673.462,12726,85,126,673.45,1,673.462,FALSE,672.899,13018,673.072
11,231,FALSE,1,36.168999999994185,675.272,8374,56,124,0,156.57575757573238,9723,65,123,675.978,9873,66,123,675.971,1,675.978,FALSE,672.899,13018,673.072
12,96,FALSE,1,3.4169999999991205,676.334,3738,25,138,0,35.59374999999084,3732,25,132,676.519,3881,26,131,676.52,16,676.52,FALSE,676.113,4774,676.232
13,111,FALSE,1,0.21700000000055297,677.349,4004,27,104,0,1.9549549549599368,4452,30,102,677.388,4601,31,101,677.388,7,677.388,FALSE,677.349,4899,677.388
14,87,FALSE,1,0.5270000000001573,676.129,3119,21,119,0,6.0574712643696245,2821,19,121,676.189,2672,18,122,676.197,5,676.197,TRUE,675.499,126,676.197
15,3,TRUE,1,0.5040000000001328,677.068,450,3,150,0,168.00000000004425,598,4,148,677.168,597,4,147,677.167,5,677.168,TRUE,675.499,126,676.197
16,42,FALSE,1,3.6319999999980155,676.113,4774,32,124,0,86.47619047614323,4020,27,120,676.228,3869,26,119,676.232,14,676.232,FALSE,676.129,3119,676.197
17,956,FALSE,1,6.092000000002599,671.127,17061,114,111,0,6.372384937241213,18107,121,107,671.284,18257,122,107,671.287,21,671.287,TRUE,669.989,21547,671.287
18,8,FALSE,1,22.88799999999344,673.155,16037,107,137,0,2860.99999999918,14687,98,137,673.608,14537,97,137,673.592,10,673.608,FALSE,672.747,13336,673.462
19,456,TRUE,1,14.354000000001406,672.244,22480,150,130,0,31.47807017544168,22323,149,123,672.859,22472,150,122,672.874,22,672.874,TRUE,671.297,22458,671.298
20,24,TRUE,1,0.1779999999996562,674.432,10051,68,1,0,7.416666666652342,10651,72,1,674.469,10801,73,1,674.473,6,674.473,TRUE,668.858,22201,670.132
21,103,TRUE,1,142.38900000001024,669.989,21547,144,97,0,1382.4174757282549,18257,122,107,671.287,18107,121,107,671.284,17,671.287,FALSE,671.127,17061,671.287
22,101,TRUE,1,9.999999999763531e-4,671.297,22458,150,108,0,0.009900990098775772,22458,150,108,671.297,22457,150,107,671.298,21,671.298,TRUE,669.989,21547,671.287
